"experiment","site","plot","date","n2o.e.kghyr"
"atat","r100","1101","2023-05-16",-3.48504334287571
"atat","r100","1101","2023-05-31",5.47638499736712
"atat","v08","1101","2023-06-14",0.0864568293402242
"atat","r100","1101","2023-06-27",1.25695844250334
"atat","r100","1101","2023-07-10",5.32427873514517
"atat","r100","1101","2023-07-24",1.56752068867838
"atat","r100","1101","2023-08-07",8.92240084140236
"atat","r100","1101","2023-08-21",-10.3872726213342
"atat","r100","1102","2023-05-16",-4.28928411430849
"atat","r100","1102","2023-05-31",-1.00680914371623
"atat","v08","1102","2023-06-14",-7.3107153178941
"atat","r100","1102","2023-06-27",-8.04392704086253
"atat","r100","1102","2023-07-10",2.42577199405833
"atat","r100","1102","2023-07-24",-8.15909159996367
"atat","r100","1102","2023-08-07",1.69197388867973
"atat","r100","1102","2023-08-21",0.580481429731283
"ATAT","r100","1103","2022-09-02",10.3549129048066
"ATAT","r100","1103","2022-09-08",-9.41906289450239
"ATAT","r100","1103","2022-09-15",1.27095194019899
"ATAT","r100","1103","2022-09-27",7.23530690761077
"ATAT","r100","1103","2022-10-11",-6.70096474196861
"ATAT","r100","1103","2022-10-27",-25.8454206511629
"atat","r100","1103","2023-05-16",0.806876330244619
"atat","r100","1103","2023-05-31",-10.5031964461397
"atat","v08","1103","2023-06-14",4.02252853463589
"atat","r100","1103","2023-06-27",-20.566376986727
"atat","r100","1103","2023-07-10",0.72537399804902
"atat","r100","1103","2023-07-24",15.4839975614135
"atat","r100","1103","2023-08-07",-4.41905747058599
"atat","r100","1103","2023-08-21",0.467613051500096
"atat","r100","1104","2023-05-16",14.523773944404
"atat","r100","1104","2023-05-31",-2.44236603467021
"atat","v08","1104","2023-06-14",8.40177485252246
"atat","r100","1104","2023-06-28",-20.3731520293158
"atat","r100","1104","2023-07-10",-4.30012098751155
"atat","r100","1104","2023-07-24",6.37598811492704
"atat","r100","1104","2023-08-07",11.5026853814869
"atat","r100","1104","2023-08-21",-1.47444141429355
"ATAT","r100","1105","2022-09-27",11.2013742108383
"ATAT","r100","1105","2022-10-11",0.837390315807045
"ATAT","r100","1105","2022-10-27",-0.207149850390513
"atat","r100","1105","2023-05-16",13.2906192872785
"atat","r100","1105","2023-05-31",-5.30571325552652
"atat","v08","1105","2023-06-14",0.0700990594886364
"atat","r100","1105","2023-06-27",8.35023306250202
"atat","r100","1105","2023-07-10",3.82854624186015
"atat","r100","1105","2023-07-24",1.45074799609815
"atat","r100","1105","2023-08-07",-4.76344690960349
"atat","r100","1105","2023-08-21",-6.11881217102214
"ATAT","r100","1106","2022-09-02",5.00856426985753
"ATAT","r100","1106","2022-09-08",-1.6342460334189
"ATAT","r100","1106","2022-09-15",0.160463355751649
"ATAT","r100","1106","2022-09-27",-2.25164868833038
