year,date,time,experiment,site,plot,co2_ppm,n2o_ppm,ch4_ppm,nh3_ppm,temp_celsius
2020,11/2/2020,14:18:23,orei_manure,rosemount,101,435.1,0.408,1.94,0.01,24
2020,11/2/2020,14:18:44,orei_manure,rosemount,101,437.1,0.422,1.9,0,24
2020,11/2/2020,14:19:05,orei_manure,rosemount,101,435.9,0.388,1.88,0.04,24
2020,11/2/2020,14:19:26,orei_manure,rosemount,101,436.1,0.404,1.89,0,24
2020,11/2/2020,14:19:47,orei_manure,rosemount,101,436.1,0.414,1.93,0,24
2020,11/2/2020,14:20:08,orei_manure,rosemount,101,436,0.41,1.9,0.02,24
2020,11/2/2020,14:20:29,orei_manure,rosemount,101,436.2,0.409,1.88,0.02,24
2020,11/2/2020,14:20:50,orei_manure,rosemount,101,435.9,0.39,1.9,0,24
2020,11/2/2020,14:21:11,orei_manure,rosemount,101,437.9,0.407,1.87,0,24
2020,11/2/2020,14:21:32,orei_manure,rosemount,101,436.8,0.398,1.92,0,24
2020,11/2/2020,14:21:53,orei_manure,rosemount,101,439.8,0.413,1.99,0.02,24
2020,11/2/2020,14:22:14,orei_manure,rosemount,101,437.4,0.398,1.94,0.02,24
2020,11/2/2020,14:22:35,orei_manure,rosemount,101,437.5,0.39,1.85,0,24
2020,11/2/2020,14:22:56,orei_manure,rosemount,101,439.1,0.408,1.89,0,24
2020,11/2/2020,14:23:18,orei_manure,rosemount,101,440.2,0.408,1.87,0,24
2020,11/2/2020,14:23:39,orei_manure,rosemount,101,438.3,0.412,1.88,0,24
2020,11/2/2020,14:24:00,orei_manure,rosemount,101,439.3,0.407,1.84,0,24
2020,11/2/2020,14:26:03,orei_manure,rosemount,102,439.1,0.41,1.9,0.04,24
2020,11/2/2020,14:26:24,orei_manure,rosemount,102,437.2,0.422,1.93,0,24
2020,11/2/2020,14:26:45,orei_manure,rosemount,102,434.3,0.423,1.98,0.05,24
2020,11/2/2020,14:27:06,orei_manure,rosemount,102,437.7,0.388,1.9,0,24
2020,11/2/2020,14:27:27,orei_manure,rosemount,102,437.9,0.42,1.87,0,24
2020,11/2/2020,14:27:48,orei_manure,rosemount,102,437.1,0.415,1.89,0.01,24
2020,11/2/2020,14:28:09,orei_manure,rosemount,102,434.6,0.405,1.93,0,24
2020,11/2/2020,14:28:30,orei_manure,rosemount,102,435.5,0.416,1.81,0,24
2020,11/2/2020,14:28:51,orei_manure,rosemount,102,437.6,0.435,1.83,0,24
2020,11/2/2020,14:29:12,orei_manure,rosemount,102,433.6,0.403,1.88,0,24
2020,11/2/2020,14:29:33,orei_manure,rosemount,102,437.8,0.408,1.85,0.01,24
2020,11/2/2020,14:29:54,orei_manure,rosemount,102,437.3,0.411,1.83,0,24
2020,11/2/2020,14:30:15,orei_manure,rosemount,102,437.7,0.422,1.93,0.02,24
2020,11/2/2020,14:30:36,orei_manure,rosemount,102,439.3,0.427,1.88,0.05,24
2020,11/2/2020,14:30:57,orei_manure,rosemount,102,436.9,0.4,1.99,0,24
2020,11/2/2020,14:31:18,orei_manure,rosemount,102,437.6,0.412,1.77,0,24
2020,11/2/2020,14:31:39,orei_manure,rosemount,102,438,0.412,2.01,0,24
2020,11/2/2020,14:32:00,orei_manure,rosemount,102,438.2,0.415,1.78,0,24
2020,11/2/2020,14:12:40,orei_manure,rosemount,103,434,0.377,1.89,0,24
2020,11/2/2020,14:13:01,orei_manure,rosemount,103,433.2,0.409,1.89,0,24
2020,11/2/2020,14:13:22,orei_manure,rosemount,103,431,0.384,1.86,0.01,24
2020,11/2/2020,14:13:43,orei_manure,rosemount,103,431.1,0.4,1.98,0,24
2020,11/2/2020,14:14:04,orei_manure,rosemount,103,429.9,0.35,1.99,0,24
2020,11/2/2020,14:14:25,orei_manure,rosemount,103,431.3,0.38,1.87,0,24
2020,11/2/2020,14:14:46,orei_manure,rosemount,103,434,0.387,1.95,0,24
2020,11/2/2020,14:15:07,orei_manure,rosemount,103,433,0.381,1.91,0,24
2020,11/2/2020,14:15:28,orei_manure,rosemount,103,432.5,0.389,1.87,0,24
2020,11/2/2020,14:15:49,orei_manure,rosemount,103,434.1,0.387,1.83,0,24
2020,11/2/2020,14:16:10,orei_manure,rosemount,103,434.6,0.397,1.92,0,24
2020,11/2/2020,14:16:31,orei_manure,rosemount,103,433.4,0.392,1.96,0,24
2020,11/2/2020,14:05:04,orei_manure,rosemount,104,438.4,0.411,1.88,0.01,24
2020,11/2/2020,14:05:25,orei_manure,rosemount,104,437,0.39,1.89,0.01,24
2020,11/2/2020,14:05:46,orei_manure,rosemount,104,434.9,0.394,1.88,0,24
2020,11/2/2020,14:06:07,orei_manure,rosemount,104,433.1,0.384,1.89,0,24
