experiment,site,plot,date,slope_CO2_ugcm3,slope_N2O_ugcm3,slope_CH4_ugcm3,co2.e,co2.e.area,co2.e.gmd,co2.e.gmhr,n2o.e,n2o.e.area,n2o.e.gmhr,ch4.e,ch4.e.area,ch4.e.gmhr
eddyflux,i10,33,2024-05-29,2.92655025032931e-4,0,0,0.001073068425120747,0.009569961941633651,8.268447117571474,0.34451862989881143,0,0,0,0,0,0
eddyflux,i10,33,2024-06-10,4.658044352556279e-4,0,0,0.0017079495959373022,0.015232032038878913,13.16047568159138,0.5483531533996409,0,0,0,0,0,0
eddyflux,i10,33,2024-06-27,4.886074238246064e-4,4.946931640322366e-7,0,0.0017915605540235568,0.015977700877936353,13.804733558537007,0.5751972316057087,1.554749944101315e-6,1.386574932733892e-5,4.991669757842012e-4,0,0,0
eddyflux,i10,33,2024-07-16,6.084844414681298e-4,7.278898037327939e-7,0,0.002231109618716476,0.019897737775973468,17.191645438441075,0.7163185599350448,2.2876536688744952e-6,2.0402015411369533e-5,7.344725548093032e-4,0,0,0
eddyflux,i10,33,2024-07-29,4.936900863858196e-4,0,0,0.0018101969834146718,0.016143906420682468,13.94833514746965,0.5811806311445687,0,0,0,0,0,0
eddyflux,i10,33,2024-09-20,2.179828851810432e-4,0,0,7.992705789971584e-4,0.007128146577614188,6.158718643058658,0.2566132767941108,0,0,0,0,0,0
eddyflux,i10,33,2024-10-07,3.920536781870652e-4,0,0,0.0014375301533525724,0.01282034634090262,11.076779238539864,0.46153246827249433,0,0,0,0,0,0
eddyflux,i10,33,2024-10-28,1.370512234558461e-4,3.686359430195758e-7,2.4796620046191406e-7,5.025211526714356e-4,0.004481641797810208,3.8721385133080197,0.1613391047211675,1.1585701066329523e-6,1.0332492847270367e-5,3.7196974250173315e-4,3.306216006158854e-7,2.948587490699851e-6,1.0614914966519462e-4
eddyflux,i10,36,2024-05-29,2.1870741859816558e-4,0,0,8.019272015266071e-4,0.007151839173449584,6.17918904586044,0.25746621024418503,0,0,0,0,0,0
eddyflux,i10,36,2024-06-10,3.544987495299524e-4,0,0,0.001299828748276492,0.011592281871724633,10.015731537170081,0.41732214738208673,0,0,0,0,0,0
eddyflux,i10,36,2024-06-27,3.206627871504515e-4,0,1.7102306274521402e-7,0.001175763552884989,0.010485829412232662,9.05975661216902,0.37748985884037584,0,0,0,2.2803075032695202e-7,2.033649999444853e-6,7.32113999800147e-5
eddyflux,i10,36,2024-07-16,4.2790534821215704e-4,0,0,0.001568986276777909,0.013992713422744217,12.089704397251001,0.5037376832187918,0,0,0,0,0,0
eddyflux,i10,36,2024-07-29,3.8871917396890963e-4,0,0,0.001425303637886002,0.012711306427925301,10.98256875372746,0.4576070314053108,0,0,0,0,0,0
eddyflux,i10,36,2024-10-07,1.815056476749298e-4,0,0,6.655207081414092e-4,0.005935323134277939,5.128119188016139,0.2136716328340058,0,0,0,0,0,0
eddyflux,i10,36,2024-10-28,1.299791372117919e-4,-3.13136849936343e-7,0,4.765901697765703e-4,0.004250381131105668,3.6723292972752968,0.15301372071980404,-9.841443855142208e-7,-8.776909369394355e-6,-3.159687372981968e-4,0,0,0
eddyflux,i10,37,2024-05-29,2.0460694412568063e-4,0,0,7.502254617941622e-4,0.006690746786447264,5.780805223490437,0.24086688431210151,0,0,0,0,0,0
eddyflux,i10,37,2024-06-10,1.504500219695561e-4,0,0,5.516500805550391e-4,0.004919789039004491,4.25069772969988,0.17711240540416168,0,0,0,0,0,0
eddyflux,i10,37,2024-06-27,3.272016832353201e-4,0,0,0.0011997395051961738,0.010699654500885926,9.24450148876544,0.3851875620318933,0,0,0,0,0,0
eddyflux,i10,37,2024-07-16,3.8684091964953703e-4,6.509628474555975e-7,0,0.0014184167053816357,0.012649886596329783,10.929502019228932,0.45539591746787217,2.0458832348604492e-6,1.8245830588517888e-5,6.56849901186644e-4,0,0,0
eddyflux,i10,37,2024-07-29,3.5588418420307326e-4,0,0,0.0013049086754112686,0.011637586260716056,10.054874529258674,0.41895310538577807,0,0,0,0,0,0
eddyflux,i10,37,2024-09-20,4.073508315294612e-4,0,0,0.0014936197156080243,0.013320570710142789,11.508973093563368,0.47954054556514036,0,0,0,0,0,0
eddyflux,i10,37,2024-10-07,-7.864543186168227e-5,0,0,-2.8836658349283496e-4,-0.002571743949091432,-2.221986772014997,-0.09258278216729154,0,0,0,0,0,0
eddyflux,i10,37,2024-10-28,1.5104513226772627e-4,0,0,5.538321516483296e-4,0.00493924943577684,4.267511512511189,0.1778129796879662,0,0,0,0,0,0
eddyflux,i10,40,2024-05-29,1.7451091062465512e-4,1.831238216998231e-7,0,6.398733389570687e-4,0.005706591823905492,4.930495335854345,0.2054373056605977,5.755320110565869e-7,5.132775611567964e-6,1.8477992201644669e-4,0,0,0
eddyflux,i10,40,2024-06-10,2.924590726070288e-4,0,0,0.0010723499328924389,0.009563554201810822,8.26291083036455,0.3442879512651896,0,0,0,0,0,0
eddyflux,i10,40,2024-06-27,4.310222605519046e-4,-1.9196814283759147e-7,0,0.0015804149553569834,0.014094637975255953,12.177767210621143,0.5074069671092143,-6.033284489181446e-7,-5.3806729927793816e-6,-1.9370422774005774e-4,0,0,0
eddyflux,i10,40,2024-07-16,4.7034575972534795e-4,-3.038307340507691e-7,0,0.0017246011189929423,0.015380535562216467,13.288782725755027,0.5536992802397928,-9.548965927309885e-7,-8.516068348207076e-6,-3.065784605354548e-4,0,0,0
eddyflux,i10,40,2024-07-29,5.259172706973891e-4,0,0,0.0019283633258904266,0.01719775105332812,14.858856910075493,0.6191190379198123,0,0,0,0,0,0
eddyflux,i10,40,2024-09-20,2.546995269125932e-4,5.442299039219509e-7,-5.814287810204984e-7,9.33898265346175e-4,0.008328798655793924,7.19608203860595,0.29983675160858125,1.7104368408975597e-6,1.5254214072244127e-5,5.491517066007885e-4,-7.752383746939978e-7,-6.913819815992316e-6,-2.488975133757234e-4
eddyflux,i10,40,2024-10-07,1.3160177706175128e-4,-1.7147000601954042e-7,0,4.825398492264213e-4,0.004303442244979732,3.7181740996624884,0.15492392081927037,-5.389057332042699e-7,-4.806130938306861e-6,-1.73020713779047e-4,0,0,0
eddyflux,i10,40,2024-10-28,6.170403099142865e-5,0,0,2.262481136352384e-4,0.0020177518843796003,1.7433376281039745,0.0726390678376656,0,0,0,0,0,0
