"experiment","site","plot","date","n2o.e.kghyr","co2.e.kghyr"
"atat","r100","1101","2023-05-16",-3.48504334287571,1930.17785143866
"atat","r100","1101","2023-05-31",5.47638499736712,1495.80914556425
"atat","v08","1101","2023-06-14",0.0864568293402242,1789.4505177502
"atat","r100","1101","2023-06-27",1.25695844250334,2619.76601700698
"atat","r100","1101","2023-07-10",5.32427873514517,854.51387107272
"atat","r100","1101","2023-07-24",1.56752068867838,3905.73904929035
"atat","r100","1101","2023-08-07",8.92240084140236,6332.2411941593
"atat","r100","1101","2023-08-21",-10.3872726213342,2243.91722653168
"atat","r100","1102","2023-05-16",-4.28928411430849,2841.6507257292
"atat","r100","1102","2023-05-31",-1.00680914371623,3859.93501957585
"atat","v08","1102","2023-06-14",-7.3107153178941,1994.29736252168
"atat","r100","1102","2023-06-27",-8.04392704086253,3652.46104363085
"atat","r100","1102","2023-07-10",2.42577199405833,3298.72310121492
"atat","r100","1102","2023-07-24",-8.15909159996367,4144.10205677553
"atat","r100","1102","2023-08-07",1.69197388867973,4353.31643619777
"atat","r100","1102","2023-08-21",0.580481429731283,2031.85734701675
"atat","r100","1103","2022-09-02",10.3549129048066,59964.3592760163
"atat","r100","1103","2022-09-08",-9.41906289450239,5905.28482180148
"atat","r100","1103","2022-09-15",1.27095194019899,23546.7314311629
"atat","r100","1103","2022-09-27",7.23530690761077,5031.50763392083
"atat","r100","1103","2022-10-11",-6.70096474196861,11193.2207641912
"atat","r100","1103","2022-10-27",-25.8454206511629,-1517.20561645658
"atat","r100","1103","2023-05-16",0.806876330244619,2763.55143108799
"atat","r100","1103","2023-05-31",-10.5031964461397,4355.11884700605
"atat","v08","1103","2023-06-14",4.02252853463589,8111.00016000358
"atat","r100","1103","2023-06-27",-20.566376986727,11793.2441625941
"atat","r100","1103","2023-07-10",0.72537399804902,4563.26187863619
"atat","r100","1103","2023-07-24",15.4839975614135,6994.95357988643
"atat","r100","1103","2023-08-07",-4.41905747058599,4464.71103449898
"atat","r100","1103","2023-08-21",0.467613051500096,3239.89042825074
"atat","r100","1104","2023-05-16",14.523773944404,11296.2686234253
"atat","r100","1104","2023-05-31",-2.44236603467021,3454.89404319453
"atat","v08","1104","2023-06-14",8.40177485252246,14369.0196690387
"atat","r100","1104","2023-06-28",-20.3731520293158,6361.55045153789
"atat","r100","1104","2023-07-10",-4.30012098751155,3168.85838925844
"atat","r100","1104","2023-07-24",6.37598811492704,7453.99022920329
"atat","r100","1104","2023-08-07",11.5026853814869,3258.42431807809
"atat","r100","1104","2023-08-21",-1.47444141429355,6212.7599593186
"atat","r100","1105","2022-09-27",11.2013742108383,2020.51370162955
"atat","r100","1105","2022-10-11",0.837390315807045,10472.1393059747
"atat","r100","1105","2022-10-27",-0.207149850390513,3590.59740676877
"atat","r100","1105","2023-05-16",13.2906192872785,5817.154698382
"atat","r100","1105","2023-05-31",-5.30571325552652,1546.85928010396
"atat","v08","1105","2023-06-14",0.0700990594886364,2599.85041221387
"atat","r100","1105","2023-06-27",8.35023306250202,7501.84938335187
"atat","r100","1105","2023-07-10",3.82854624186015,4773.16585999626
"atat","r100","1105","2023-07-24",1.45074799609815,8401.14975922327
"atat","r100","1105","2023-08-07",-4.76344690960349,4386.98424160915
"atat","r100","1105","2023-08-21",-6.11881217102214,9137.87444002077
"atat","r100","1106","2022-09-02",5.00856426985753,15817.5874306177
"atat","r100","1106","2022-09-08",-1.6342460334189,18669.1278797588
"atat","r100","1106","2022-09-15",0.160463355751649,16512.6894383169
"atat","r100","1106","2022-09-27",-2.25164868833038,9164.54622847288
"atat","r100","1106","2022-10-11",-0.200782732035365,7954.93497590657
"atat","r100","1106","2022-10-27",8.49314386601082,-379.77472571602
"atat","r100","1106","2023-05-16",-6.94548832514866,2794.26107364533
"atat","r100","1106","2023-05-31",4.06589575819138,5604.2946824904
"atat","v08","1106","2023-06-14",4.48641976105913,6455.35612369265
"atat","r100","1106","2023-06-27",2.35484482104801,15606.8466153104
"atat","r100","1106","2023-07-10",-1.67212228648778,5050.23985210123
"atat","r100","1106","2023-07-24",-7.80637348502101,5940.78253351593
"atat","r100","1106","2023-08-07",9.74975565712304,9117.70253176477
"atat","r100","1106","2023-08-21",2.01968399914761,3650.21967963109
"atat","r100","1107","2022-09-27",-0.853610099755209,8446.93122860013
"atat","r100","1107","2022-10-11",-5.32940069641051,11765.1579930883
"atat","r100","1107","2022-10-27",25.4794315980328,5724.24086579099
"atat","r100","1107","2023-05-16",4.1462975361936,4992.52143316196
"atat","r100","1107","2023-05-31",6.65850809059868,8662.7190258689
"atat","v08","1107","2023-06-14",-5.34414916000135,4562.5673453511
"atat","r100","1107","2023-06-27",9.74975565712298,7914.11200581649
"atat","r100","1107","2023-07-10",5.01013983750114,6092.3300424014
